Task,Status,Comments (only if Yellow or Red
Baseline Google analytics & metrics,Complete,
Inventory content,N/A,
Draft information architecture,N/A,
"Conduct technical discovery (security, systems, data, etc.)",Complete,
Document relevant business processes,Complete,
Document data model / identify systems,Complete,
Define feature requirements,Complete,
Complete planning tasks (using launch guide checklist*),Complete,
Update product charter/MOU as needed,N/A,
Complete ATO discovery tasks and documentation,Complete,
COMPLETE ALL DISCOVERY TASKS,Complete,
