day,totalloa1signups,totalloa3signups
01/06/17,27815,11491
01/07/17,28578,11688
01/08/17,29370,11873
01/09/17,30897,12301
01/10/17,32081,12688
01/11/17,33212,13099
01/12/17,34343,13446
01/13/17,35355,13718
01/14/17,35922,13858
01/15/17,36439,13995
01/16/17,37168,14227
01/17/17,38247,14601
01/18/17,39278,14963
01/19/17,40263,15303
01/20/17,40974,15557
01/21/17,41418,15688
01/22/17,41845,15822
01/23/17,42865,16156
01/24/17,43910,16502
01/25/17,44866,16817
01/26/17,45796,17138
01/27/17,46722,17420
01/28/17,47169,17561
01/29/17,47629,17707
1/30/17,48537,18062
1/31/17,49256,18384
02/01/17,49953,18706
02/02/17,50547,18945
02/03/17,51139,19183
02/04/17,51478,19307
02/05/17,51751,19413
02/06/17,52703,19798
02/07/17,53488,20084
02/08/17,54269,20422
02/09/17,54981,20748
02/10/17,55574,20985
02/11/17,55838,21091
02/12/17,56117,21227
02/13/17,56860,21588
02/14/17,57465,21870
02/15/2017,58172,22193
02/16/2017,58844,22516
02/17/2017,59689,22817
02/18/2017,60040,22947
02/19/2017,60386,23096
02/20/2017,60925,23316
02/21/2017,62109,23743
02/22/2017,63176,24162
02/23/2017,64116,24526
02/24/2017,64899,24832
02/25/2017,65288,24961
02/26/2017,65609,25113
02/27/2017,66676,25544
02/28/2017,67721,25942
03/01/2017,68600,26312
03/01/2017,68600,26312
03/01/2017,68600,26312
03/02/2017,69510,26696
03/03/2017,70304,27009
03/04/2017,70653,27138
03/05/2017,70961,27275
03/06/2017,71959,27670
03/07/2017,72754,27942
03/08/2017,73738,28349
03/09/2017,74583,28679
03/10/2017,75358,28978
03/11/2017,75609,29064
03/12/2017,75936,29210































